Time,Force(grams),Force(kilograms),Force(newtons),Acceleration,Velocity
6526.0,0.38,0.00038,0.0037278000000000003,0.07530909090909091,250.39876363636392
6610.0,0.35,0.00035,0.0034335000000000004,0.06936363636363636,250.46812727272757
6694.0,0.35,0.00035,0.0034335000000000004,0.06936363636363636,250.53749090909122
6778.0,0.3,0.0003,0.002943,0.05945454545454545,250.59694545454576
6862.0,0.31,0.00031,0.0030411,0.061436363636363636,250.65838181818214
6946.0,0.37,0.00037,0.0036297,0.07332727272727273,250.73170909090942
7030.0,0.35,0.00035,0.0034335000000000004,0.06936363636363636,250.80107272727307
7114.0,0.33,0.00033,0.0032373000000000002,0.0654,250.86647272727308
7198.0,0.35,0.00035,0.0034335000000000004,0.06936363636363636,250.93583636363672
7282.0,0.33,0.00033,0.0032373000000000002,0.0654,251.00123636363674
7366.0,0.31,0.00031,0.0030411,0.061436363636363636,251.0626727272731
7450.0,0.28,0.00028000000000000003,0.0027468000000000006,0.0554909090909091,251.11816363636402
7534.0,0.31,0.00031,0.0030411,0.061436363636363636,251.1796000000004
7618.0,0.28,0.00028000000000000003,0.0027468000000000006,0.0554909090909091,251.2350909090913
7702.0,0.27,0.00027,0.0026487000000000004,0.053509090909090916,251.2886000000004
7786.0,0.31,0.00031,0.0030411,0.061436363636363636,251.35003636363678
7870.0,0.34,0.00034,0.0033354000000000005,0.0673818181818182,251.4174181818186
7954.0,0.38,0.00038,0.0037278000000000003,0.07530909090909091,251.49272727272768
8038.0,0.38,0.00038,0.0037278000000000003,0.07530909090909091,251.56803636363676
8122.0,0.37,0.00037,0.0036297,0.07332727272727273,251.64136363636405
8206.0,0.39,0.00039,0.0038259,0.07729090909090909,251.71865454545497
8290.0,0.33,0.00033,0.0032373000000000002,0.0654,251.78405454545498
8374.0,0.34,0.00034,0.0033354000000000005,0.0673818181818182,251.8514363636368
8458.0,0.41,0.00041,0.0040221,0.08125454545454544,251.93269090909135
8542.0,0.42,0.00041999999999999996,0.0041202,0.08323636363636364,252.0159272727277
8626.0,0.38,0.00038,0.0037278000000000003,0.07530909090909091,252.0912363636368
8710.0,0.32,0.00032,0.0031392000000000004,0.06341818181818182,252.15465454545497
8794.0,0.38,0.00038,0.0037278000000000003,0.07530909090909091,252.22996363636406
8878.0,0.37,0.00037,0.0036297,0.07332727272727273,252.30329090909134
8962.0,0.32,0.00032,0.0031392000000000004,0.06341818181818182,252.36670909090952
9047.0,0.3,0.0003,0.002943,0.05945454545454545,252.42616363636407
9131.0,0.32,0.00032,0.0031392000000000004,0.06341818181818182,252.48958181818224
9214.0,0.33,0.00033,0.0032373000000000002,0.0654,252.55498181818226
9298.0,0.32,0.00032,0.0031392000000000004,0.06341818181818182,252.61840000000043
9382.0,0.34,0.00034,0.0033354000000000005,0.0673818181818182,252.68578181818225
9466.0,0.35,0.00035,0.0034335000000000004,0.06936363636363636,252.7551454545459
9550.0,0.38,0.00038,0.0037278000000000003,0.07530909090909091,252.83045454545498
9634.0,0.37,0.00037,0.0036297,0.07332727272727273,252.90378181818227
9718.0,0.34,0.00034,0.0033354000000000005,0.0673818181818182,252.97116363636408
9802.0,0.37,0.00037,0.0036297,0.07332727272727273,253.04449090909137
